agent_id,initial,final,category
1,3.0,6.0,Opposed
2,3.0,6.0,Opposed
3,7.0,9.0,More Polarized
4,7.0,9.0,More Polarized
5,7.0,8.5,More Polarized
6,7.0,8.5,More Polarized
7,3.0,6.0,Opposed
8,3.0,6.0,Opposed
9,7.0,9.0,More Polarized
10,7.0,8.0,More Polarized
11,3.0,6.0,Opposed
12,7.0,9.0,More Polarized
13,7.0,8.0,More Polarized
14,3.0,9.0,Opposed
15,3.0,6.0,Opposed
16,7.0,8.5,More Polarized
17,7.0,8.0,More Polarized
18,7.0,9.0,More Polarized
19,7.0,8.0,More Polarized
20,3.0,6.0,Opposed
21,3.0,6.0,Opposed
22,3.0,4.0,Less Polarized
23,7.0,9.0,More Polarized
24,3.0,6.0,Opposed
25,3.0,6.0,Opposed
26,3.0,6.0,Opposed
27,7.0,9.0,More Polarized
28,7.0,9.0,More Polarized
29,7.0,9.0,More Polarized
30,7.0,9.0,More Polarized
31,3.0,6.0,Opposed
32,7.0,9.0,More Polarized
33,3.0,6.0,Opposed
34,3.0,6.0,Opposed
35,3.0,6.0,Opposed
36,7.0,9.0,More Polarized
37,7.0,9.0,More Polarized
38,3.0,4.0,Less Polarized
39,3.0,6.0,Opposed
40,7.0,9.0,More Polarized
41,3.0,6.0,Opposed
42,3.0,5.0,Less Polarized
43,7.0,8.5,More Polarized
44,7.0,9.0,More Polarized
45,7.0,8.5,More Polarized
46,3.0,4.0,Less Polarized
47,7.0,9.0,More Polarized
48,7.0,8.5,More Polarized
49,7.0,9.0,More Polarized
50,7.0,8.5,More Polarized
51,7.0,9.0,More Polarized
52,3.0,4.0,Less Polarized
53,7.0,8.0,More Polarized
54,3.0,6.0,Opposed
55,3.0,7.0,Opposed
56,7.0,9.0,More Polarized
57,7.0,8.5,More Polarized
58,7.0,8.5,More Polarized
59,7.0,8.5,More Polarized
60,7.0,8.0,More Polarized
61,7.0,8.5,More Polarized
62,7.0,8.5,More Polarized
63,3.0,6.0,Opposed
64,7.0,8.5,More Polarized
65,3.0,6.0,Opposed
66,7.0,9.0,More Polarized
67,3.0,6.0,Opposed
68,7.0,8.0,More Polarized
69,7.0,9.0,More Polarized
70,7.0,9.0,More Polarized
71,3.0,6.0,Opposed
72,7.0,8.0,More Polarized
73,3.0,4.0,Less Polarized
74,7.0,8.5,More Polarized
75,3.0,6.0,Opposed
76,3.0,6.0,Opposed
77,7.0,8.5,More Polarized
78,7.0,8.0,More Polarized
79,3.0,6.0,Opposed
80,7.0,9.0,More Polarized
81,7.0,8.5,More Polarized
82,7.0,8.5,More Polarized
83,7.0,9.0,More Polarized
84,3.0,6.0,Opposed
85,7.0,9.0,More Polarized
86,7.0,9.0,More Polarized
87,3.0,6.0,Opposed
88,7.0,9.0,More Polarized
89,7.0,9.0,More Polarized
90,3.0,6.0,Opposed
91,3.0,6.0,Opposed
92,3.0,6.0,Opposed
93,3.0,5.0,Less Polarized
94,7.0,9.0,More Polarized
95,7.0,8.5,More Polarized
96,3.0,4.0,Less Polarized
97,3.0,6.0,Opposed
98,3.0,4.0,Less Polarized
99,3.0,4.0,Less Polarized
100,3.0,6.0,Opposed
